id,sample_size,start_date,duration,set,date_sampled,pfmg_sampled,pfmg_with_error,sampling_bias,prop_recaptured_individuals,rel_tau_sd,obs_error,scenario
1,2,213.3260896053512,92.48858725445595,1,289,0.8181972786161565,0.8181972786161565,none,0.19148936170212766,0.1,0,siskin37
1,2,213.3260896053512,92.48858725445595,1,329,1,1,none,0.19148936170212766,0.1,0,siskin37
2,1,202.49851864337577,66.9346465055654,1,207,0.06725188809729415,0.06725188809729415,none,0.19148936170212766,0.1,0,siskin37
3,1,188.44153390148276,85.9856796657094,1,286,1,1,none,0.19148936170212766,0.1,0,siskin37
4,1,200.59820325481056,69.3792136022638,1,172,0,0,none,0.19148936170212766,0.1,0,siskin37
5,1,177.98927401124533,69.36079732841834,1,213,0.5047624499323649,0.5047624499323649,none,0.19148936170212766,0.1,0,siskin37
6,1,193.7659832973997,68.0307664956419,1,252,0.8559953048056691,0.8559953048056691,none,0.19148936170212766,0.1,0,siskin37
7,1,201.65863875022916,85.27508341900564,1,227,0.2971719315154947,0.2971719315154947,none,0.19148936170212766,0.1,0,siskin37
8,1,200.12705516390977,83.19319078045515,1,298,1,1,none,0.19148936170212766,0.1,0,siskin37
9,1,195.4136714616919,75.39451039610768,1,194,0,0,none,0.19148936170212766,0.1,0,siskin37
10,3,199.7077733937372,82.61125427165678,1,316,1,1,none,0.19148936170212766,0.1,0,siskin37
10,3,199.7077733937372,82.61125427165678,1,321,1,1,none,0.19148936170212766,0.1,0,siskin37
10,3,199.7077733937372,82.61125427165678,1,230,0.3666840174905298,0.3666840174905298,none,0.19148936170212766,0.1,0,siskin37
11,1,214.41306296820053,80.11499905755012,1,188,0,0,none,0.19148936170212766,0.1,0,siskin37
12,2,203.86772630083152,73.82891253795465,1,266,0.8415710263540309,0.8415710263540309,none,0.19148936170212766,0.1,0,siskin37
12,2,203.86772630083152,73.82891253795465,1,267,0.8551158554138645,0.8551158554138645,none,0.19148936170212766,0.1,0,siskin37
13,1,200.24024719723744,79.91440053572612,1,258,0.7227702693826852,0.7227702693826852,none,0.19148936170212766,0.1,0,siskin37
14,1,191.3109770799387,70.40331126142335,1,262,1,1,none,0.19148936170212766,0.1,0,siskin37
15,1,199.07298498958065,67.33623439132562,1,181,0,0,none,0.19148936170212766,0.1,0,siskin37
16,1,195.2783586053931,72.18865129102137,1,325,1,1,none,0.19148936170212766,0.1,0,siskin37
17,1,194.31915810804134,79.08002610298875,1,263,0.8684979668887962,0.8684979668887962,none,0.19148936170212766,0.1,0,siskin37
18,1,192.74683261445855,70.89710200681438,1,202,0.13051545301036513,0.13051545301036513,none,0.19148936170212766,0.1,0,siskin37
19,1,195.7676455556482,95.31015205414137,1,207,0.11785055633917384,0.11785055633917384,none,0.19148936170212766,0.1,0,siskin37
20,1,190.94528861465466,80.11154981368699,1,245,0.6747430490492163,0.6747430490492163,none,0.19148936170212766,0.1,0,siskin37
21,1,192.75246641824472,81.03635632942786,1,248,0.6817623111923219,0.6817623111923219,none,0.19148936170212766,0.1,0,siskin37
22,1,197.2097271669842,86.67451083750386,1,283,0.9897981771579211,0.9897981771579211,none,0.19148936170212766,0.1,0,siskin37
23,1,189.8473948374021,74.50189330830918,1,277,1,1,none,0.19148936170212766,0.1,0,siskin37
24,1,188.79455847854877,88.8807365395283,1,283,1,1,none,0.19148936170212766,0.1,0,siskin37
25,1,187.62005817074333,83.11180251079685,1,175,0,0,none,0.19148936170212766,0.1,0,siskin37
26,2,196.24310274670603,68.098717292234,1,215,0.27543686576065673,0.27543686576065673,none,0.19148936170212766,0.1,0,siskin37
26,2,196.24310274670603,68.098717292234,1,217,0.30480599457137053,0.30480599457137053,none,0.19148936170212766,0.1,0,siskin37
27,1,198.90864641816813,95.04497858407561,1,178,0,0,none,0.19148936170212766,0.1,0,siskin37
28,2,195.34354734885434,71.4687435982756,1,214,0.2610435235298554,0.2610435235298554,none,0.19148936170212766,0.1,0,siskin37
28,2,195.34354734885434,71.4687435982756,1,254,0.8207287507508517,0.8207287507508517,none,0.19148936170212766,0.1,0,siskin37
29,1,197.23108169241743,76.69532271748183,1,191,0,0,none,0.19148936170212766,0.1,0,siskin37
30,1,199.74944484221353,75.56273281746155,1,227,0.36063485453359917,0.36063485453359917,none,0.19148936170212766,0.1,0,siskin37
31,1,188.54797666954562,83.16755154956704,1,283,1,1,none,0.19148936170212766,0.1,0,siskin37
32,4,210.87093256368354,73.38996436662696,1,236,0.34240468234569066,0.34240468234569066,none,0.19148936170212766,0.1,0,siskin37
32,4,210.87093256368354,73.38996436662696,1,227,0.21977211156203974,0.21977211156203974,none,0.19148936170212766,0.1,0,siskin37
32,4,210.87093256368354,73.38996436662696,1,326,1,1,none,0.19148936170212766,0.1,0,siskin37
32,4,210.87093256368354,73.38996436662696,1,234,0.31515299994932383,0.31515299994932383,none,0.19148936170212766,0.1,0,siskin37
33,1,207.67428337828702,65.7831513838109,1,330,1,1,none,0.19148936170212766,0.1,0,siskin37
34,1,193.50633740551996,85.10094161347794,1,207,0.15856067322694548,0.15856067322694548,none,0.19148936170212766,0.1,0,siskin37
35,1,198.03632633452494,69.73017586828878,1,200,0.028161031304211537,0.028161031304211537,none,0.19148936170212766,0.1,0,siskin37
36,1,210.16989291776213,77.37080933888288,1,187,0,0,none,0.19148936170212766,0.1,0,siskin37
37,2,189.10112233981366,77.85858634099434,1,169,0,0,none,0.19148936170212766,0.1,0,siskin37
37,2,189.10112233981366,77.85858634099434,1,196,0.08860779503459756,0.08860779503459756,none,0.19148936170212766,0.1,0,siskin37
38,1,200.7052998685302,75.38022336211309,1,217,0.2161667796232571,0.2161667796232571,none,0.19148936170212766,0.1,0,siskin37
39,1,205.37821110575237,63.190803040503425,1,224,0.2946914423972681,0.2946914423972681,none,0.19148936170212766,0.1,0,siskin37
40,3,203.70686238006414,77.40333398191041,1,214,0.13298054606202656,0.13298054606202656,none,0.19148936170212766,0.1,0,siskin37
40,3,203.70686238006414,77.40333398191041,1,210,0.08130318548560975,0.08130318548560975,none,0.19148936170212766,0.1,0,siskin37
40,3,203.70686238006414,77.40333398191041,1,245,0.5334800905292568,0.5334800905292568,none,0.19148936170212766,0.1,0,siskin37
41,1,193.07037331474743,83.14509881897789,1,218,0.29983278677109926,0.29983278677109926,none,0.19148936170212766,0.1,0,siskin37
42,1,197.53301917935343,91.32530743185904,1,291,1,1,none,0.19148936170212766,0.1,0,siskin37
43,1,193.52784917100243,68.17561430043699,1,268,1,1,none,0.19148936170212766,0.1,0,siskin37
44,1,193.26723518452806,73.90502118437054,1,163,0,0,none,0.19148936170212766,0.1,0,siskin37
45,1,200.42669790187995,74.93544818127343,1,233,0.4346848239210266,0.4346848239210266,none,0.19148936170212766,0.1,0,siskin37
46,4,192.86393149491474,66.60371238241166,1,160,0,0,none,0.19148936170212766,0.1,0,siskin37
46,4,192.86393149491474,66.60371238241166,1,194,0.017057134872038592,0.017057134872038592,none,0.19148936170212766,0.1,0,siskin37
